"Title:","Dairy Products from the Food Availability Database"
"SubTitle:","USA"
"Time:","1921 - 2017"
"Unit of Measure:","Pounds","Pounds","Pounds","Pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Food Availability: Dairy Products | All Dairy Products - Per capita food availability | Cottage cheese | Fluid Milk and Cream | Butter | Cheese: Whole and part-skim milk cheese, total | Per Capita Food Availability: Total, 1921 - 2017. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-009 doi:https://doi.org/10.6068/DP1849B0E1C0970"
"ColumnCount:",5
"RowCount:",97

"Time","All Dairy Products - Per capita food availability, Fluid Milk and Cream (Pounds)","All Dairy Products - Per capita food availability, Butter (Pounds)","All Dairy Products - Per capita food availability, Cheese: Whole and part-skim milk cheese, total (Pounds)","Cottage cheese, Per Capita Food Availability: Total (Pounds)"
"1921",298.6,16.3,4.2,
"1922",300.6,17.1,4.3,
"1923",292.2,17.9,4.5,
"1924",293.9,17.9,4.6,
"1925",301.7,18.1,4.7,
"1926",301.2,18.3,4.6,
"1927",298.1,18.3,4.6,
"1928",298.4,17.6,4.4,
"1929",300.3,17.6,4.7,
"1930",298.1,17.6,4.7,
"1931",298.1,18.3,4.5,
"1932",303.9,18.5,4.4,
"1933",302.6,18.1,4.5,
"1934",292.4,18.5,4.9,
"1935",296.6,17.5,5.3,
"1936",299.4,16.8,5.4,
"1937",301.5,16.7,5.6,
"1938",300.9,16.6,5.8,
"1939",305.9,17.4,5.9,
"1940",306.1,17,6,
"1941",309.5,16.4,5.9,
"1942",332.6,16.4,6.7,
"1943",367.5,13.1,5.6,
"1944",388.5,13.4,6,
"1945",397.7,11.7,6.4,
"1946",374.8,10.7,6.6,
"1947",355.9,11.3,6.9,
"1948",339.5,10.1,7,
"1949",334.5,10.6,7.3,
"1950",331.5,10.9,7.7,
"1951",333.6,9.7,7.2,
"1952",333.5,8.6,7.6,
"1953",328.3,8.6,7.4,
"1954",320.9,9.1,7.9,
"1955",321.1,9.3,7.8,
"1956",321.6,9,8,
"1957",318,8.5,7.6,
"1958",311.5,8.4,8.1,
"1959",305.1,8,8,
"1960",300.3,7.7,8.3,
"1961",292.9,7.5,8.5,
"1962",291.2,7.5,9.1,
"1963",292,7.1,9.2,
"1964",291.5,7.1,9.4,
"1965",290.7,6.6,9.5,
"1966",291,5.8,9.7,
"1967",276.6,5.5,10,
"1968",275.8,5.8,10.5,
"1969",273.7,5.6,10.8,
"1970",275.3,5.4,11.4,5.1
"1971",275.7,5.1,12,5.2
"1972",273.6,5,13,5.3
"1973",269,4.8,13.5,5.1
"1974",260.4,4.5,14.4,4.6
"1975",261.4,4.7,14.3,4.6
"1976",260.2,4.3,15.5,4.6
"1977",257.5,4.3,16,4.6
"1978",253.9,4.4,16.8,4.6
"1979",250.6,4.5,17.2,4.4
"1980",245.5,4.5,17.5,4.4
"1981",241.7,4.2,18.2,4.3
"1982",235.6,4.4,19.9,4.2
"1983",235.9,4.9,20.6,4.1
"1984",237.6,5,21.5,4.1
"1985",240.8,4.9,22.5,4
"1986",240.3,4.8,23.1,4
"1987",237.3,4.4,24.1,3.9
"1988",237.1,4.5,23.7,3.8
"1989",236.1,4.4,23.8,3.5
"1990",233,4.3,24.6,3.3
"1991",231.3,4.4,24.9,3.2
"1992",228.6,4.3,25.9,3.1
"1993",223.6,4.7,26,2.9
"1994",222.4,4.7,26.6,2.8
"1995",220.7,4.6,26.7,2.7
"1996",219.8,4.3,27.1,2.6
"1997",216.4,4.2,27.3,2.6
"1998",213.3,4.3,27.6,2.6
"1999",213.1,4.6,28.9,2.6
"2000",210.5,4.5,29.5,2.6
"2001",207.9,4.3,29.8,2.6
"2002",203.9,4.4,30.2,2.6
"2003",201.4,4.5,30.3,2.6
"2004",199.2,4.5,31,2.7
"2005",199.4,4.5,31.3,2.6
"2006",198.7,4.7,32.2,2.6
"2007",197,4.7,32.7,2.6
"2008",194.8,5,32.1,2.3
"2009",195.1,5,32.3,2.4
"2010",195.4,4.9,32.7,2.3
"2011",192.2,5.4,33,2.3
"2012",188.6,5.5,33.3,2.3
"2013",184.6,5.5,33.4,2.1
"2014",178.6,5.5,34.2,2.1
"2015",174.7,5.6,35.1,2.1
"2016",172,5.7,36.4,2.2
"2017",167.8,5.7,37,2.1



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."